Title,Description,Eligibility,Category,Link,Dates,Location,Cost
"StandOut Connect High School Internship Program","Matches high school students with online internships in various industries (finance, STEM, medicine, law, arts, etc.):contentReference[oaicite:2]{index=2}","Ages 15-19 (high school)","Multiple (All Fields)","https://www.standoutconnect.org","Summer, Spring, Fall, Winter (various cycles)","Virtual (online)","Free (No cost; program funded; internships may be unpaid or stipend)"
"Smithsonian Office of Internships","Offers high school students hands-on experience at Smithsonian museums (Natural History, Portrait Gallery, etc.) with virtual, hybrid, and in-person opportunities:contentReference[oaicite:3]{index=3}","Varies by position (high school students eligible)","Arts/Culture","https://internships.si.edu","Summer, School Year (varies by position)","Washington, DC (and virtual/hybrid)","Unpaid (educational internship; no fee)"
"Foreign Policy Research Institute (FPRI) Internships","High school interns work with a prestigious foreign policy think tank, developing research and professional skills through projects and seminars:contentReference[oaicite:4]{index=4}","High school students (usually 16+; requirements vary)","Government/Politics","https://www.fpri.org","Summer, Fall, Spring (term-based)","Philadelphia, PA (remote options)","Unpaid (educational internship)"
"Medicine Encompassed Student Internship","Student-led nonprofit offering internships for high schoolers interested in biology, medicine, or STEM; interns contribute to STEAM outreach projects and expand scientific knowledge:contentReference[oaicite:5]{index=5}","Grades 9-12 (high school worldwide)","Medicine/STEM","https://www.medicine-encompassed.org","Year-round (ongoing)","Remote (global)","Unpaid (volunteer; no cost)"
"U.S. Department of State Pathways Internship Program","Federal government internship program (Internship Experience Program and Internship Temporary Program) offering paid opportunities to explore careers in public service and diplomacy:contentReference[oaicite:6]{index=6}","U.S. citizens, ages 16+; GPA ≥ 2.0; high school to college students","Government/Politics","https://careers.state.gov/intern/student-programs","School Year or Summer (varies; paid)","Various Locations (U.S.)","Paid (federal stipend/salary)"
"Science and Engineering Apprenticeship Program (SEAP)","8-week summer research apprenticeships in Department of Navy labs, where high school students work on Navy-related STEM research projects under top scientists and engineers:contentReference[oaicite:7]{index=7}","Completed 9th grade; ages 16+; U.S. citizens","STEM (Engineering)","https://navalsteminterns.us/SEAP","Summer (8 weeks)","Department of Navy Laboratories (various U.S.)","Paid (stipend provided)"
"NASA High School Internship (NASA OSTEM)","Paid internships at NASA centers; students work with NASA mentors on real projects in science, engineering, and technology, gaining hands-on STEM experience:contentReference[oaicite:8]{index=8}","U.S. high school students (at least 16); GPA ≥ 3.0 (some programs for international students)","STEM (Aerospace)","https://intern.nasa.gov","Summer (also Fall/Spring sessions)","NASA Centers (various U.S.)","Paid (stipend provided)"
"Southwest Airlines High School Internship","Internship at Southwest Airlines HQ supporting Ground Operations; interns assist with payroll, staffing, event coordination, and gain experience in the airline industry:contentReference[oaicite:9]{index=9}","High school juniors/seniors (age ≥16)","Business (Transportation)","https://careers.southwestair.com","Summer","Dallas, TX","Paid"
"Hutton Junior Fisheries Biology Program","8-week paid summer internship in fisheries science sponsored by the American Fisheries Society; students work with fisheries professionals on research and conservation projects:contentReference[oaicite:10]{index=10}","High school students (typically juniors/seniors, ages ~15-18)","STEM (Environmental Science)","https://afs-fisheries.org/Hutton","Summer (8 weeks)","Varies (placements across U.S. & Canada)","Paid (stipend provided)"
"Emma Bowen Foundation Internship","Multi-summer internship program that matches high school and college students of color with media and tech companies; interns gain work experience and mentorship in media/TV, finance, tech, and business roles:contentReference[oaicite:11]{index=11}","High school juniors/seniors (ages 16-18) from underrepresented groups","Media/Technology","https://www.emmabowenfoundation.com","Summer (multi-year commitment possible)","Various U.S. locations","Paid (hourly internship wages)"
